This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Stock quote and option quote for QQQ on 8/17/26 11:58:10

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
731.07,Q,0,734.32,Q,734.38,P,120 x 480,"246,749",0,0,0

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,0.45%,6.524,.8135,Q,6/22/26,748.65,555.60,"669,450,000",1.23

17 AUG 26  (0)  100 (Weeklys)
,,LAST,LX,Net Chng,Gamma,Delta,Open.Int,Volume,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,Gamma,Delta,Open.Int,Volume,,
,,0, ,0,.00,1.00,0,<empty>,233.93,N,237.52,P,17 AUG 26,495,0,N,.01,H,.01,C,0,.00,.00,21,<empty>,,
,,223.71,M,0,.00,1.00,17,<empty>,228.93,N,232.60,N,17 AUG 26,500,0,N,.01,Q,.01,M,0,.00,.00,175,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,223.93,N,227.52,P,17 AUG 26,505,0,N,.01,Q,.01,U,0,.00,.00,48,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,218.93,N,222.53,N,17 AUG 26,510,0,N,.01,Q,.01,U,0,.00,.00,674,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,213.93,N,217.53,N,17 AUG 26,515,0,T,.01,Q,.01,M,0,.00,.00,3,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,208.93,D,212.52,P,17 AUG 26,520,0,N,.01,H,.01,J,0,.00,.00,69,<empty>,,
,,208.54,I,0,.00,1.00,28,<empty>,203.94,N,207.52,P,17 AUG 26,525,0,N,.01,H,.01,C,0,.00,.00,243,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,198.94,N,202.56,M,17 AUG 26,530,0,N,.01,H,.01,A,0,.00,.00,823,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,193.94,N,197.52,P,17 AUG 26,535,0,A,.01,H,.02,X,0,.00,.00,946,<empty>,,
,,191.42,C,0,.00,1.00,1,<empty>,188.94,N,192.54,N,17 AUG 26,540,0,N,.01,H,.01,X,0,.00,.00,0,<empty>,,
